00000000 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\addrcleanlib.dll[lib_AddrClean] version = ADDRCLEANLIB 1.2.0
00000001 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\auditlib.dll[lib_auditlib] version = AUDITLIB 1.0.1
00000002 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\bridgerscorelib.dll[lib_BridgerScore] version = BRIDGERSCORELIB 1.0.0
00000003 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\canadacleanlib.dll[lib_CanadaClean] version = CANADACLEANLIB 1.0.1
00000004 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\cmslib.dll[_cmsLib] version = CMSLIB 1.0.04
00000005 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\datalib.dll[lib_datalib] version = DATALIB 1.52.2
00000006 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\debugservices.dll[lib_debugservices] version = DEBUGSERVICES 1.0.1
00000007 2019-02-13 11:08:27  4684 15056 Plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\dmetaphone.dll exports getECLPluginDefinition but does not export ECL - not loading
00000008 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\dmslib.dll[DMS] version = DMSLIB 1.1.12
00000009 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\entityscorelib.dll[lib_EntityScore] version = ENTITYSCORELIB 1.0.0
0000000A 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\fileservices.dll[lib_fileservices] version = FILESERVICES 2.1.3
0000000B 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\fingerprintlib.dll[lib_fingerprintlib] version = FINGERPRINTLIB 1.0.01
0000000C 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\hktlib.dll[lib_hktlib] version = HKTLIB 1.0.0
0000000D 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\logging.dll[lib_logging] version = LOGGING 1.0.1
0000000E 2019-02-13 11:08:27  4684 15056 Plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\metaphone3.dll exports getECLPluginDefinition but does not export ECL - not loading
0000000F 2019-02-13 11:08:27  4684 15056 Error loading C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\moxiekeylib.dll: 126 - The specified module could not be found.
00000010 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\namelib.dll[lib_namelib] version = NAMELIB 1.50.1
00000011 2019-02-13 11:08:27  4684 15056 Error loading C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\ofaclib.dll: 126 - The specified module could not be found.
00000012 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\parselib.dll[lib_parselib] version = PARSELIB 1.0.1
00000013 2019-02-13 11:08:27  4684 15056 Error loading C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\saltlib.dll: 126 - The specified module could not be found.
00000014 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\stringlib.dll[lib_stringlib] version = STRINGLIB 1.1.14
00000015 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\timelib.dll[lib_timelib] version = TIMELIB 1.0.0
00000016 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\unicodelib.dll[lib_unicodelib] version = UNICODELIB 1.1.06
00000017 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\workunitservices.dll[lib_WORKUNITSERVICES] version = WORKUNITSERVICES 1.0.2
00000018 2019-02-13 11:08:27  4684 15056 Loading plugin C:\Program Files (x86)\HPCCSystems\7.0.4\clienttools\plugins\ziplib.dll[lib_ziplib] version = ZIPLIB 1.0.05
